1,Timebands,Digi 24,Antena 3 CNN
2,02:00 - 02:15,0.37,0.01
3,02:15 - 02:30,0.39,0.01
4,02:30 - 02:45,0.43,0
5,02:45 - 03:00,0.45,0
6,03:00 - 03:15,0.46,0
7,03:15 - 03:30,0.22,0
8,03:30 - 03:45,0.17,0
9,03:45 - 04:00,0.09,0
10,04:00 - 04:15,0.09,0.03
11,04:15 - 04:30,0.1,0.06
12,04:30 - 04:45,0.11,0
13,04:45 - 05:00,0.09,0
14,05:00 - 05:15,0.09,0.09
15,05:15 - 05:30,0.09,0.1
16,05:30 - 05:45,0.19,0.1
17,05:45 - 06:00,0.4,0.1
18,>>> 2:00 - 6:00,0.23,0.03
19,06:00 - 06:15,0.52,0.1
20,06:15 - 06:30,0.5,0.1
21,06:30 - 06:45,0.39,0.12
22,06:45 - 07:00,0.61,0.14
23,07:00 - 07:15,0.45,0.03
24,07:15 - 07:30,0.36,0
25,07:30 - 07:45,0.1,0.03
26,07:45 - 08:00,0.22,0.11
27,08:00 - 08:15,0.14,0.26
28,08:15 - 08:30,0.12,0.22
29,08:30 - 08:45,0.12,0.23
30,08:45 - 09:00,0.18,0.27
31,>>> 6:00 - 9:00,0.31,0.14
32,09:00 - 09:15,0.25,0.41
33,09:15 - 09:30,0.39,0.35
34,09:30 - 09:45,0.45,0.02
35,09:45 - 10:00,0.42,0.02
36,10:00 - 10:15,0.37,0.25
37,10:15 - 10:30,0.31,0.31
38,10:30 - 10:45,0.1,0.88
39,10:45 - 11:00,0.1,0.74
40,11:00 - 11:15,0.07,0.33
41,11:15 - 11:30,0.23,0.31
42,11:30 - 11:45,0.28,0.43
43,11:45 - 12:00,0.32,0.6
44,>>> 9:00 - 12:00,0.27,0.39
45,12:00 - 12:15,0.34,0.37
46,12:15 - 12:30,0.33,0.51
47,12:30 - 12:45,0.25,0.29
48,12:45 - 13:00,0.07,0.21
49,13:00 - 13:15,0.09,0.31
50,13:15 - 13:30,0.07,0.43
51,13:30 - 13:45,0.16,0.44
52,13:45 - 14:00,0.08,0.47
53,14:00 - 14:15,0.21,0.56
54,14:15 - 14:30,0.33,0.62
55,14:30 - 14:45,0.53,0.58
56,14:45 - 15:00,0.5,0.81
57,>>> 12:00 - 15:00,0.25,0.47
58,15:00 - 15:15,0.47,0.67
59,15:15 - 15:30,0.43,0.54
60,15:30 - 15:45,0.31,0.54
61,15:45 - 16:00,0.31,0.49
62,>>> 15:00 - 16:00,0.38,0.56
63,16:00 - 16:15,0.2,0.63
64,16:15 - 16:30,0.15,0.91
65,16:30 - 16:45,0.18,0.62
66,16:45 - 17:00,0.16,0.72
67,17:00 - 17:15,0.44,0.88
68,17:15 - 17:30,0.45,1.17
69,17:30 - 17:45,0.41,1.07
70,17:45 - 18:00,0.7,1.12
71,18:00 - 18:15,0.91,1.04
72,18:15 - 18:30,0.83,1.13
73,18:30 - 18:45,0.65,1.34
74,18:45 - 19:00,0.68,1.25
75,>>> 16:00 - 19:00,0.48,0.99
76,19:00 - 19:15,0.59,1.17
77,19:15 - 19:30,0.76,1.16
78,19:30 - 19:45,1.03,1.16
79,19:45 - 20:00,0.74,0.99
80,>>> 19:00 - 20:00,0.78,1.12
81,20:00 - 20:15,0.74,1.12
82,20:15 - 20:30,0.73,1.51
83,20:30 - 20:45,0.61,1.27
84,20:45 - 21:00,0.75,1.22
85,21:00 - 21:15,0.94,1.3
86,21:15 - 21:30,1.23,1.16
87,21:30 - 21:45,0.95,1.17
88,21:45 - 22:00,0.71,1.11
89,22:00 - 22:15,0.93,0.91
90,22:15 - 22:30,1.01,0.96
91,22:30 - 22:45,0.58,1.21
92,22:45 - 23:00,0.19,0.79
93,>>> 20:00 - 23:00,0.78,1.15
94,23:00 - 23:15,0.41,0.6
95,23:15 - 23:30,0.26,0.64
96,23:30 - 23:45,0.2,0.55
97,23:45 - 24:00,0.21,0.4
98,24:00 - 24:15,0.19,0.29
99,24:15 - 24:30,0.2,0.2
100,24:30 - 24:45,0.26,0.19
101,24:45 - 25:00,0.28,0.09
102,>>> 23:00 - 25:00,0.25,0.37
103,25:00 - 25:15,0.21,0.16
104,25:15 - 25:30,0.13,0.13
105,25:30 - 25:45,0.13,0.21
106,25:45 - 26:00,0.02,0.13
107,>>> 25:00 - 26:00,0.12,0.16
108,Whole day,0.37,0.5
